,phrase,label,sentiment,subjectivity,language,count
Donald Trump,Donald Trump,PERSON,0.04807692307692309,0.09615384615384617,en,2.5999999999999996
Péter Magyar,Péter Magyar,PERSON,-0.1466666666666667,0.2800000000000001,en,2.4999999999999996
HungaroMet Zrt,HungaroMet Zrt,PERSON,-0.06140350877192984,0.6578947368421053,en,1.9
Sean Connery,Sean Connery,PERSON,0.3846153846153846,1.217948717948718,en,1.3
Yann Tiersen,Yann Tiersen,PERSON,0.37062937062937057,0.7948717948717947,en,1.3
Viktor Orbán,Viktor Orbán,PERSON,-0.15555555555555559,0.2888888888888889,en,1.0
Tamás Sulyok,Tamás Sulyok,PERSON,0.0,0.0,en,1.0
László Molnár,László Molnár,PERSON,-0.2,0.5,en,1.0
Juraj Blanár,Juraj Blanár,PERSON,-0.06071428571428571,0.31071428571428567,en,1.0
HungaroMet Nonprof,HungaroMet Nonprof,PERSON,0.12666666666666665,0.5,en,1.0
Moriah Wilson,Moriah Wilson,PERSON,-0.2,0.0,en,1.0
Saint Margaret,Saint Margaret,PERSON,0.0,0.0,en,1.0
Noémi Kiss,Noémi Kiss,PERSON,0.0,0.0,en,1.0
Sylvain Chomet,Sylvain Chomet,PERSON,0.4583333333333333,0.7583333333333333,en,1.0
Luka Korlaet,Luka Korlaet,PERSON,0.0,0.0,en,1.0
Jerome Powell,Jerome Powell,PERSON,-0.08928571428571429,0.4785714285714286,en,1.0
Mary Daly,Mary Daly,PERSON,-0.6,0.7,en,1.0
Indestructible Martian,Indestructible Martian,PERSON,-0.15555555555555559,0.2888888888888889,en,1.0
Serena Williams,Serena Williams,PERSON,-1.0,1.0,en,1.0
Gabriella Sódar,Gabriella Sódar,PERSON,-0.2,0.3,en,1.0
Al Capone,Al Capone,PERSON,0.16666666666666666,0.75,en,1.0
Janez Jansa min,Janez Jansa min,PERSON,0.0,0.0,en,1.0
